sid,uniprot_id,uniprot.full.name,flag1,flag2,flag3,entrezgenesymbol
SeqId_10000_28,P43320,Beta-crystallin B2,0,0,0,CRYBB2
SeqId_10001_7,P04049,RAF proto-oncogene serine/threonine-protein kinase,0,0,0,RAF1
SeqId_10003_15,P51814,Zinc finger protein 41,0,0,0,ZNF41
SeqId_10006_25,P19419,ETS domain-containing protein Elk-1,0,0,0,ELK1
SeqId_10008_43,P43080,Guanylyl cyclase-activating protein 1,0,0,0,GUCA1A
SeqId_10011_65,Q01968,Inositol polyphosphate 5-phosphatase OCRL-1,0,0,0,OCRL
SeqId_10012_5,O95238,SAM pointed domain-containing Ets transcription factor,0,0,1,SPDEF
SeqId_10013_34,,,1,1,1,
SeqId_10014_31,O43623,Zinc finger protein SNAI2,0,0,0,SNAI2
SeqId_10015_119,Q13303,Voltage-gated potassium channel subunit beta-2,0,0,0,KCNAB2
SeqId_10021_1,,,1,1,1,
SeqId_10022_207,Q9Y253,DNA polymerase eta,0,0,0,POLH
SeqId_10023_32,P11473,Vitamin D3 receptor,0,0,1,VDR
SeqId_10024_44,Q86XE5,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",0,0,0,HOGA1
SeqId_10030_8,Q9UIF7,Adenine DNA glycosylase,0,0,0,MUTYH
SeqId_10034_16,,,1,1,1,
SeqId_10035_6,Q13115,Dual specificity protein phosphatase 4,0,0,0,DUSP4
SeqId_10036_201,Q9H4I2,Zinc fingers and homeoboxes protein 3,0,0,1,ZHX3
SeqId_10037_98,Q96PQ1,Sialic acid-binding Ig-like lectin 12,0,0,0,SIGLEC12
SeqId_10040_63,Q9H3D4,Tumor protein 63,0,0,0,TP63
SeqId_10041_3,P41235,Hepatocyte nuclear factor 4-alpha,0,0,1,HNF4A
SeqId_10042_8,Q96BR1,Serine/threonine-protein kinase Sgk3,0,0,0,SGK3
SeqId_10043_31,O60885,Bromodomain-containing protein 4,0,0,0,BRD4
SeqId_10044_12,Q9GZT5,Protein Wnt-10a,0,0,1,WNT10A
SeqId_10045_47,Q13618,Cullin-3,0,0,0,CUL3
SeqId_10046_55,Q13490,Baculoviral IAP repeat-containing protein 2,0,0,0,BIRC2
SeqId_10047_12,P19878,Neutrophil cytosol factor 2,0,0,1,NCF2
SeqId_10048_7,Q13951,Core-binding factor subunit beta,0,0,0,CBFB
SeqId_10049_112,P54274,Telomeric repeat-binding factor 1,0,0,0,TERF1
SeqId_10053_5,Q13418,Integrin-linked protein kinase,0,0,1,ILK
SeqId_10054_3,Q9H2C0,Gigaxonin,0,0,0,GAN
SeqId_10056_5,Q08050,Forkhead box protein M1,0,0,1,FOXM1
SeqId_10058_1,P54725,UV excision repair protein RAD23 homolog A,0,0,1,RAD23A
SeqId_10063_10,Q9NW38,E3 ubiquitin-protein ligase FANCL,0,0,0,FANCL
SeqId_10064_12,O75884,Putative hydrolase RBBP9,0,0,0,RBBP9
